run_name,backend,stream,head,hidden_dim,seed,batch,epochs_completed,n_train_windows,n_val_windows,command_elapsed_s,mean_epoch_elapsed_s,sd_epoch_elapsed_s,train_windows_per_s_command,train_val_windows_per_s_command,train_windows_per_s_mean_epoch,train_val_windows_per_s_mean_epoch,max_cpu_percent_total,max_ram_used_gb,max_proc_tree_rss_gb,max_gpu_util_pct,max_gpu_mem_used_mb,max_gpu_power_w
yolo_sppf_pose_relations_only_attention896_seed44,yolo_sppf,pose_relations_only,attention,896,44,16,10,20414,10079,1957.228,27.00063749722072,69.8160258685545,104.30057203350862,155.796871902507,756.0562228244164,1129.3437054269093,50.9,8.305,1.042,40.0,1237.0,44.5
yolo_sppf_pose_relations_only_lstm256_seed42,yolo_sppf,pose_relations_only,lstm,256,42,16,10,20414,10079,1577.006,22.012801817485265,53.72203458886101,129.44782708499525,193.36007599210149,927.3694538868152,1385.2393826477246,51.1,8.57,0.934,29.0,778.0,18.97
yolo_sppf_pose_relations_only_lstm256_seed43,yolo_sppf,pose_relations_only,lstm,256,43,16,10,20414,10079,1579.797,30.73751907348633,63.89155314165745,129.21913385074157,193.01847009457543,664.1394821486675,992.0449313784324,51.1,8.571,0.933,28.0,778.0,18.97
yolo_sppf_pose_relations_only_lstm256_seed44,yolo_sppf,pose_relations_only,lstm,256,44,16,10,20414,10079,1572.778,31.32956156730652,63.02873502120229,129.79581352231529,193.8798737011835,651.5890736658988,973.2980123098976,51.7,8.573,0.936,28.0,778.0,18.49
yolo_sppf_pose_relations_only_lstm512_seed42,yolo_sppf,pose_relations_only,lstm,512,42,16,10,20414,10079,1645.185,26.83355689048767,63.03411575579464,124.08330977975122,185.34693666669708,760.7638481664217,1136.3756256558586,51.0,8.617,0.99,39.0,834.0,24.18
yolo_sppf_pose_relations_only_lstm512_seed43,yolo_sppf,pose_relations_only,lstm,512,43,16,10,20414,10079,1690.501,22.580484926700592,54.29544350307147,120.7571010014191,180.37847951583583,904.0549866961092,1350.413868390539,61.9,11.856,0.991,38.0,1114.0,43.24
yolo_sppf_pose_relations_only_lstm512_seed44,yolo_sppf,pose_relations_only,lstm,512,44,16,10,20414,10079,1662.423,34.35308198928833,75.24350489591662,122.79666486808712,183.4250368287734,594.2407148903062,887.6350602111349,62.7,11.745,0.991,38.0,981.0,24.34
yolo_sppf_pose_relations_only_lstm896_seed42,yolo_sppf,pose_relations_only,lstm,896,42,16,10,20414,10079,1969.34,41.0531702722822,61.56310212936208,103.6590939096347,154.83867691713976,497.2575775416519,742.7684585077686,56.4,9.007,1.126,43.0,1460.0,44.72
yolo_sppf_pose_relations_only_lstm896_seed43,yolo_sppf,pose_relations_only,lstm,896,43,16,10,20414,10079,1792.037,36.96343231201172,79.868252910447,113.91505867345371,170.1583170436771,552.2755524347294,824.9504467714414,55.6,8.998,1.127,41.0,1136.0,48.79
yolo_sppf_pose_relations_only_lstm896_seed44,yolo_sppf,pose_relations_only,lstm,896,44,16,10,20414,10079,2042.871,74.18046629428864,84.7567696035128,99.92799349542874,149.26542106672423,275.1937406137838,411.0650892787357,58.9,10.496,1.126,47.0,1688.0,48.2
yolo_sppf_visual_only_attention256_seed42,yolo_sppf,visual_only,attention,256,42,16,10,20414,10079,2198.807,169.46313536167145,239.6366460571012,92.84125437112034,138.679747699548,120.4627776798302,179.9388400015216,51.3,8.239,0.954,33.0,947.0,19.61
yolo_sppf_visual_only_attention256_seed43,yolo_sppf,visual_only,attention,256,43,16,10,20414,10079,1988.167,32.33379133542379,73.80897073031251,102.6774913777364,153.37242797008503,631.3518816345896,943.0691156404204,52.1,8.145,0.954,34.0,947.0,39.9
yolo_sppf_visual_only_attention256_seed44,yolo_sppf,visual_only,attention,256,44,16,10,20414,10079,1988.357,38.94317512512207,80.16967382442523,102.66767989852929,153.35777227127724,524.1996815722152,783.0126819918466,51.1,8.207,0.954,34.0,947.0,18.9
yolo_sppf_visual_only_attention512_seed42,yolo_sppf,visual_only,attention,512,42,16,10,20414,10079,2387.75,54.30242269379752,88.84460070564423,85.49471259553974,127.70599937179352,375.931661743919,561.540323383821,52.7,8.654,0.961,34.0,951.0,19.41
yolo_sppf_visual_only_attention512_seed43,yolo_sppf,visual_only,attention,512,43,16,10,20414,10079,2040.552,51.09642320871353,102.0767564751693,100.04155738251218,149.43505482830136,399.5191584470589,596.7736699581742,51.0,8.202,0.962,35.0,951.0,19.62
yolo_sppf_visual_only_attention512_seed44,yolo_sppf,visual_only,attention,512,44,16,10,20414,10079,2005.456,39.25178198814392,80.63499977077707,101.79231057674664,152.05020703520796,520.0782987678391,776.8564497074419,51.3,8.191,0.961,34.0,951.0,19.34
yolo_sppf_visual_only_attention896_seed42,yolo_sppf,visual_only,attention,896,42,16,10,20414,10079,2035.666,28.440183230808803,69.45527779636983,100.28167685661596,149.7937284407167,717.787217977057,1072.1801527272655,51.1,8.194,0.969,35.0,949.0,19.65
yolo_sppf_visual_only_attention896_seed43,yolo_sppf,visual_only,attention,896,43,16,10,20414,10079,2035.725,28.34947998183114,69.52812702382036,100.2787704626116,149.78938707340137,720.0837550841533,1075.6105586255062,52.1,8.254,0.969,35.0,949.0,20.13
yolo_sppf_visual_only_attention896_seed44,yolo_sppf,visual_only,attention,896,44,16,10,20414,10079,2040.569,28.684607982635494,69.29415305612096,100.04072393533372,149.43380988341977,711.6708728373701,1063.0439857661374,52.4,8.185,0.966,35.0,948.0,19.75
