model_name,stream,head,capacity,seed,prediction_type,best_validation_macroF1,mean_frame_macro_f1_present_behaviors,mean_bout_macro_f1_iou25_present_behaviors,mean_bout_macro_f1_iou50_present_behaviors,pred_bouts_total,cpu_pct,ram_gb_used,gpu_util_pct,vram_gb_used,gpu_power_w
yolo_sppf_pose_relations_only_attention896_seed43,pose_relations_only,attention,896,43,smoothed_frames,0.8071496788953992,0.7234319809348747,0.6631497075316367,0.515265604352585,1431,50.4,8.68,38.0,1.51,22.9
yolo_sppf_pose_relations_only_attention896_seed44,pose_relations_only,attention,896,44,smoothed_frames,0.781702002197121,0.7291545897654331,0.6629336361252086,0.4932043174710997,1392,50.5,8.62,38.0,1.51,23.1
yolo_sppf_pose_relations_only_lstm256_seed42,pose_relations_only,lstm,256,42,smoothed_frames,0.7649704709346268,0.7090213128435213,0.6382899583601912,0.4800465683496138,1493,50.9,9.18,9.0,1.03,15.2
yolo_sppf_pose_relations_only_lstm256_seed43,pose_relations_only,lstm,256,43,smoothed_frames,0.780316951347282,0.718903366201539,0.6471647971926308,0.5048460148073147,1374,50.8,9.17,8.0,1.03,16.0
yolo_sppf_pose_relations_only_lstm256_seed44,pose_relations_only,lstm,256,44,smoothed_frames,0.7622391211367702,0.7037461210471214,0.6366611204739223,0.4764056086695206,1471,50.8,9.17,8.0,1.03,14.3
yolo_sppf_pose_relations_only_lstm512_seed42,pose_relations_only,lstm,512,42,smoothed_frames,0.7758122067253606,0.7147901753946906,0.6469756100930789,0.4861834116122643,1496,50.8,9.17,14.0,1.09,17.1
yolo_sppf_pose_relations_only_lstm512_seed43,pose_relations_only,lstm,512,43,smoothed_frames,0.7844039444597812,0.7134914008686819,0.6465379946580682,0.4877602095629573,1412,55.5,9.13,15.0,1.11,16.0
yolo_sppf_pose_relations_only_lstm512_seed44,pose_relations_only,lstm,512,44,smoothed_frames,0.7676254699812227,0.7053324581125903,0.6316330942458842,0.4639860139339354,1472,50.8,9.31,14.0,1.11,15.9
yolo_sppf_pose_relations_only_lstm896_seed42,pose_relations_only,lstm,896,42,smoothed_frames,0.7872921405015422,0.7168908494172899,0.6419896146204868,0.4821614280254895,1470,51.2,9.47,35.0,1.3,17.5
yolo_sppf_pose_relations_only_lstm896_seed43,pose_relations_only,lstm,896,43,smoothed_frames,0.8027848864581935,0.7176426552956838,0.6389081069439161,0.5025614633344674,1309,51.3,9.37,35.0,1.31,21.8
yolo_sppf_pose_relations_only_lstm896_seed44,pose_relations_only,lstm,896,44,smoothed_frames,0.7765287475636102,0.7019525988204587,0.6398960179605286,0.4590893923700876,1600,53.3,9.58,38.0,1.41,18.2
yolo_sppf_visual_only_attention256_seed42,visual_only,attention,256,42,smoothed_frames,0.7839893583137049,0.6899188658189932,0.6075701017757724,0.4255751150801494,1532,50.7,8.64,13.0,1.2,15.5
yolo_sppf_visual_only_attention256_seed43,visual_only,attention,256,43,smoothed_frames,0.7684973189324784,0.6853390990643026,0.5977475095800096,0.4191989989051591,1483,50.8,8.69,12.0,1.2,16.2
yolo_sppf_visual_only_attention256_seed44,visual_only,attention,256,44,smoothed_frames,0.7782150964292476,0.6847146393462121,0.5934141057325224,0.4355490766581079,1466,50.7,8.78,13.0,1.2,15.9
yolo_sppf_visual_only_attention512_seed42,visual_only,attention,512,42,smoothed_frames,0.7642821885719462,0.6784175326698464,0.5803405322926046,0.4015067778628353,1559,50.5,8.61,14.0,1.21,16.0
yolo_sppf_visual_only_attention512_seed43,visual_only,attention,512,43,smoothed_frames,0.770131720765873,0.6882265399796031,0.603121261404662,0.4415989363318953,1438,50.7,8.7,13.0,1.21,16.2
