stream,head,capacity,class,threshold,n_seeds,matched_bouts_mean,median_tiou_mean,median_tiou_sd,median_abs_start_offset_frames_mean,median_abs_start_offset_frames_sd,median_abs_end_offset_frames_mean,median_abs_end_offset_frames_sd,median_abs_mean_boundary_offset_frames_mean,median_abs_mean_boundary_offset_frames_sd,median_duration_error_frames_mean,median_duration_error_frames_sd,median_abs_duration_error_frames_mean,median_abs_duration_error_frames_sd,median_pred_duration_frames_mean,median_pred_duration_frames_sd,median_gt_duration_frames_mean,median_gt_duration_frames_sd
animal_visual_only,lstm,896,mount,0.25,3,159.66666666666666,0.7799252620357641,0.009223719323552714,9.166666666666666,0.7637626158259733,12.333333333333334,1.5275252316519468,12.0,0.25,6.666666666666667,7.505553499465135,18.0,1.0,100.33333333333333,9.237604307034013,98.83333333333333,3.0138568866708537
animal_visual_only,lstm,896,mount,0.5,3,143.66666666666666,0.8006256475006475,0.00861571751968361,8.666666666666666,1.1547005383792515,11.666666666666666,1.1547005383792515,11.416666666666666,0.3818813079129864,5.833333333333333,6.788470618138767,16.666666666666668,0.5773502691896255,119.0,13.856406460551018,102.0,0.8660254037844386
full,attention,256,attack,0.1,3,225.66666666666666,0.5319859601449276,0.010238381295786211,14.833333333333334,1.2583057392117916,12.5,1.8027756377319946,16.833333333333332,0.28867513459481314,21.0,3.4641016151377544,28.333333333333332,2.081665999466133,79.0,0.0,55.166666666666664,0.7637626158259732
full,attention,256,attack,0.25,3,203.33333333333334,0.5661300505050505,0.0031526174803405875,14.0,1.0,11.666666666666666,1.5275252316519468,15.416666666666666,0.5204164998665332,19.666666666666668,2.309401076758503,25.833333333333332,1.7559422921421235,79.0,0.0,58.166666666666664,1.2583057392117925
full,attention,256,attack,0.5,3,126.66666666666667,0.6974296536796537,0.009095377110125705,10.666666666666666,1.5275252316519468,7.666666666666667,0.5773502691896257,10.833333333333334,1.607275126832159,15.166666666666666,1.7559422921421233,19.0,2.6457513110645907,84.33333333333333,9.237604307034012,67.33333333333333,2.309401076758502
full,attention,256,investigation,0.1,3,734.6666666666666,0.6255952380952381,0.02589798799738941,8.0,1.0,9.0,0.0,10.166666666666666,0.7637626158259736,10.166666666666666,2.466441431158124,16.0,1.7320508075688772,52.333333333333336,9.237604307034012,40.666666666666664,1.5275252316519456
full,attention,256,investigation,0.25,3,668.0,0.655424031986532,0.018750214776315336,7.666666666666667,0.5773502691896257,8.666666666666666,0.5773502691896258,9.666666666666666,0.7637626158259736,9.0,1.7320508075688772,14.666666666666666,1.1547005383792517,57.666666666666664,9.237604307034013,45.666666666666664,2.309401076758502
full,attention,256,investigation,0.5,3,477.3333333333333,0.757940155228758,0.007422951230760461,6.666666666666667,0.5773502691896257,7.0,0.0,7.5,0.5,6.333333333333333,1.5275252316519468,11.0,1.0,63.0,0.0,60.0,1.0
full,attention,256,mount,0.1,3,170.33333333333334,0.8252840909090909,0.0061507486064235365,7.0,1.0,9.333333333333334,0.5773502691896258,9.083333333333334,0.3818813079129867,1.0,6.082762530298219,13.166666666666666,1.040832999733066,89.66666666666667,9.237604307034012,95.66666666666667,5.251983752196244
full,attention,256,mount,0.25,3,167.66666666666666,0.8283160552897395,0.007113296121825207,7.0,1.0,9.333333333333334,0.5773502691896258,9.0,0.5,1.0,6.082762530298219,13.166666666666666,1.040832999733066,95.0,0.0,98.16666666666667,3.4034296427770236
full,attention,256,mount,0.5,3,155.0,0.8418081693644838,0.01112026569738754,6.333333333333333,0.5773502691896257,8.0,1.7320508075688772,8.333333333333334,0.5773502691896258,1.0,6.082762530298219,12.0,0.0,95.0,0.0,103.0,1.7320508075688772
full,attention,512,attack,0.1,3,219.66666666666666,0.5133680555555555,0.012061912286584538,18.5,2.7838821814150108,14.5,1.3228756555322954,20.333333333333332,2.466441431158124,31.833333333333332,6.898067362191626,36.5,3.905124837953327,105.66666666666667,9.237604307034012,56.666666666666664,1.040832999733067
