model_name,head,capacity,seed,track,source,frequency_bin,motif_recall
Composition shuffle,null,0,15,Composition shuffle,null,Common,0.7242014742014742
Markov baseline,null,0,15,Markov baseline,null,Rare,0.8571428571428571
Markov baseline,null,0,15,Markov baseline,null,Intermediate,0.8382352941176471
Markov baseline,null,0,15,Markov baseline,null,Common,0.8421375921375921
Composition shuffle,null,0,16,Composition shuffle,null,Rare,0.5714285714285714
Composition shuffle,null,0,16,Composition shuffle,null,Intermediate,0.9264705882352942
Composition shuffle,null,0,16,Composition shuffle,null,Common,0.7555282555282555
Markov baseline,null,0,16,Markov baseline,null,Rare,0.7142857142857143
Markov baseline,null,0,16,Markov baseline,null,Intermediate,0.9088235294117647
Markov baseline,null,0,16,Markov baseline,null,Common,0.8439803439803439
Composition shuffle,null,0,17,Composition shuffle,null,Rare,0.42857142857142855
Composition shuffle,null,0,17,Composition shuffle,null,Intermediate,0.8911764705882353
Composition shuffle,null,0,17,Composition shuffle,null,Common,0.7352579852579852
Markov baseline,null,0,17,Markov baseline,null,Rare,0.42857142857142855
Markov baseline,null,0,17,Markov baseline,null,Intermediate,0.8794117647058823
Markov baseline,null,0,17,Markov baseline,null,Common,0.8415233415233415
Composition shuffle,null,0,18,Composition shuffle,null,Rare,0.7142857142857143
Composition shuffle,null,0,18,Composition shuffle,null,Intermediate,0.8941176470588236
Composition shuffle,null,0,18,Composition shuffle,null,Common,0.7475429975429976
Markov baseline,null,0,18,Markov baseline,null,Rare,0.7142857142857143
Markov baseline,null,0,18,Markov baseline,null,Intermediate,0.8735294117647059
Markov baseline,null,0,18,Markov baseline,null,Common,0.8372235872235873
Composition shuffle,null,0,19,Composition shuffle,null,Rare,0.8571428571428571
Composition shuffle,null,0,19,Composition shuffle,null,Intermediate,0.9176470588235294
Composition shuffle,null,0,19,Composition shuffle,null,Common,0.7303439803439803
Markov baseline,null,0,19,Markov baseline,null,Rare,0.8571428571428571
Markov baseline,null,0,19,Markov baseline,null,Intermediate,0.861764705882353
Markov baseline,null,0,19,Markov baseline,null,Common,0.85995085995086
Composition shuffle,null,0,20,Composition shuffle,null,Rare,0.2857142857142857
Composition shuffle,null,0,20,Composition shuffle,null,Intermediate,0.9029411764705882
Composition shuffle,null,0,20,Composition shuffle,null,Common,0.7647420147420148
Markov baseline,null,0,20,Markov baseline,null,Rare,0.42857142857142855
Markov baseline,null,0,20,Markov baseline,null,Intermediate,0.8294117647058824
Markov baseline,null,0,20,Markov baseline,null,Common,0.8679361179361179
Composition shuffle,null,0,21,Composition shuffle,null,Rare,0.8571428571428571
Composition shuffle,null,0,21,Composition shuffle,null,Intermediate,0.8911764705882353
Composition shuffle,null,0,21,Composition shuffle,null,Common,0.7438574938574939
Markov baseline,null,0,21,Markov baseline,null,Rare,1.0
Markov baseline,null,0,21,Markov baseline,null,Intermediate,0.8911764705882353
Markov baseline,null,0,21,Markov baseline,null,Common,0.8175675675675675
Composition shuffle,null,0,22,Composition shuffle,null,Rare,0.42857142857142855
Composition shuffle,null,0,22,Composition shuffle,null,Intermediate,0.8852941176470588
Composition shuffle,null,0,22,Composition shuffle,null,Common,0.7414004914004914
Markov baseline,null,0,22,Markov baseline,null,Rare,0.5714285714285714
Markov baseline,null,0,22,Markov baseline,null,Intermediate,0.8558823529411764
Markov baseline,null,0,22,Markov baseline,null,Common,0.8697788697788698
Composition shuffle,null,0,23,Composition shuffle,null,Rare,0.2857142857142857
Composition shuffle,null,0,23,Composition shuffle,null,Intermediate,0.9117647058823529
Composition shuffle,null,0,23,Composition shuffle,null,Common,0.7518427518427518
Markov baseline,null,0,23,Markov baseline,null,Rare,0.42857142857142855
Markov baseline,null,0,23,Markov baseline,null,Intermediate,0.8176470588235294
Markov baseline,null,0,23,Markov baseline,null,Common,0.8255528255528255
