stream,head,capacity,prediction_type,n_seeds,evaluated_videos,mean_accuracy_seed_mean,mean_frame_macro_f1_present_behaviors_seed_mean,mean_bout_macro_f1_iou10_present_behaviors_seed_mean,mean_bout_macro_f1_iou25_present_behaviors_seed_mean,mean_bout_macro_f1_iou50_present_behaviors_seed_mean,mean_accuracy_seed_sd,mean_frame_macro_f1_present_behaviors_seed_sd,mean_bout_macro_f1_iou10_present_behaviors_seed_sd,mean_bout_macro_f1_iou25_present_behaviors_seed_sd,mean_bout_macro_f1_iou50_present_behaviors_seed_sd
full,lstm,512,raw_windows,3,28.0,0.8780401085519189,0.7305602321391088,0.7047895638508831,0.6597082096451782,0.5019421064476459,0.010289191200966552,0.0029342522919565636,0.019615963092987836,0.011147038299617402,0.0060292761930272176
full,lstm,512,smoothed_frames,3,28.0,0.8779778643848012,0.7305107220329826,0.7045789940153901,0.6594666741530791,0.5017879900145789,0.010289191200966628,0.0029351958245580315,0.01956219733217132,0.011193112729723197,0.005994377197668124
full,lstm,896,raw_windows,3,28.0,0.8744852926547938,0.7254096979350916,0.693189975388513,0.6435230700832585,0.4812897225648333,0.007423838960955955,0.004366952763256429,0.0050383450880217735,0.006471302841009314,0.008802206486499861
full,lstm,896,smoothed_frames,3,28.0,0.8744230484876763,0.7253610569606859,0.6929475002308086,0.6432978427498194,0.48114456782731524,0.007423838960955954,0.004367188167152837,0.005045243180341658,0.006451904092220786,0.008808280227624594
no_group_visual,attention,256,raw_windows,3,28.0,0.8768463274665974,0.7381799072665789,0.7071158343505058,0.6648574318311942,0.5142358117362317,0.011045764481783621,0.007152310924623534,0.005497628381868614,0.007304548216087143,0.01160519257967776
no_group_visual,attention,256,smoothed_frames,3,28.0,0.8767840832994797,0.7381317117181309,0.7069446179150267,0.6645826870132668,0.5140481008904918,0.01104576448178364,0.00715126888985925,0.0055604999468844285,0.007274530399518655,0.011586391372420422
no_group_visual,attention,512,raw_windows,3,28.0,0.8773699389722958,0.7392170163200028,0.7097314804540177,0.6665834066283516,0.5155926638408569,0.0034645937188675243,0.0050125955339301404,0.00798292337838437,0.009635788114135884,0.0037945791726152144
no_group_visual,attention,512,smoothed_frames,3,28.0,0.877307694805178,0.7391695045066622,0.7095487653300893,0.6662885935650542,0.5153864084556191,0.0034645937188676782,0.005011469041721264,0.008037291968242113,0.009593761451232988,0.0037463636772315924
no_group_visual,attention,896,raw_windows,3,28.0,0.8775168267317398,0.7333739809869636,0.7013555551047652,0.6573177463736821,0.5027404161888115,0.002868111045019425,0.003899999834295487,0.0069968026310545505,0.007152777230855709,0.006710401260855092
no_group_visual,attention,896,smoothed_frames,3,28.0,0.877454582564622,0.7333262081618935,0.7011744733659921,0.657022298864308,0.5025135344863414,0.002868111045019425,0.0038989235838530444,0.007049146529551647,0.007127706899854178,0.00671293571633571
no_group_visual,lstm,256,raw_windows,3,28.0,0.8812571878031242,0.7338507751679324,0.7013732314552444,0.6591291423465445,0.5055124233071343,0.00493177853961577,0.007131435131975634,0.00489008791098087,0.0073941773952585915,0.010448847056535503
no_group_visual,lstm,256,smoothed_frames,3,28.0,0.8811949436360066,0.7338022464570075,0.7012223448979281,0.6588834903059047,0.505373522701583,0.004931778539615871,0.0071306353436960375,0.00493221922580159,0.007379037067185276,0.010465536581449279
no_group_visual,lstm,512,raw_windows,3,28.0,0.8822250328760431,0.7275916724667311,0.686199894664555,0.6415612040417594,0.4907885856638592,0.0036659507201505705,0.0035993113504574443,0.010319544880954051,0.005802918034006317,0.0044190952098065615
no_group_visual,lstm,512,smoothed_frames,3,28.0,0.8821627887089255,0.7275426944951899,0.6859946792264348,0.6413178255625063,0.490623382694527,0.0036659507201505705,0.0035998939778629072,0.010257317235920018,0.005836365762396318,0.004419393554343083
no_group_visual,lstm,896,raw_windows,3,28.0,0.8847804731686292,0.727770602838857,0.6809333345516727,0.6416610854011472,0.4889724188837567,0.005030007559248704,0.0032764179283276693,0.006598292643927524,0.0009063072770723361,0.00851311681378229
no_group_visual,lstm,896,smoothed_frames,3,28.0,0.8847182290015115,0.7277218398616879,0.680695305616902,0.6414406178874467,0.48882355896046076,0.00503000755924866,0.0032754832609027465,0.006603247266610114,0.0009119228113385535,0.00851679068838524
no_relations,attention,256,raw_windows,3,28.0,0.8564747838396274,0.6958951520367251,0.664726662810394,0.6107135469593922,0.44303928601792864,0.003277824943768875,0.0047927264443833285,0.005732051069233877,0.00570333240678512,0.010449044655913873
no_relations,attention,256,smoothed_frames,3,28.0,0.8564125396725096,0.695849060390794,0.664600708483534,0.6104474596184989,0.44289324266318236,0.0032778249437687723,0.004792649196936235,0.005728161733723051,0.005708887167719374,0.010439237254863213
no_relations,attention,512,raw_windows,3,28.0,0.8425059773505473,0.6888139167972295,0.6713479896820935,0.6060832338735299,0.4184583054157298,0.015723746321796274,0.011886736887507602,0.007502177173679976,0.007065805311762866,0.019709066014290844
