stream,head,capacity,seed,prediction_type,true_class,total_frames,pred_attack_frames,pred_attack_fraction,pred_investigation_frames,pred_investigation_fraction,pred_mount_frames,pred_mount_fraction,pred_other_frames,pred_other_fraction
animal_visual_only,lstm,256,42,smoothed_frames,other,217302.0,3165.0,0.014564983295137642,52023.0,0.23940414722367948,1243.0,0.005720149837553267,160871.0,0.7403107196436296
animal_visual_only,lstm,256,43,raw_windows,attack,19068.0,14391.0,0.7547199496538703,4188.0,0.2196349905601007,211.0,0.011065659744073841,278.0,0.014579400041955109
animal_visual_only,lstm,256,43,raw_windows,investigation,76719.0,4576.0,0.059646241478642836,65377.0,0.8521617852161785,1067.0,0.013907897652472008,5699.0,0.07428407565270663
animal_visual_only,lstm,256,43,raw_windows,mount,35279.0,52.0,0.0014739646815385924,6191.0,0.1754868335270274,27785.0,0.7875790130105729,1251.0,0.035460188780861136
animal_visual_only,lstm,256,43,raw_windows,other,217302.0,4021.0,0.018504201525986877,30756.0,0.1415357428831764,1353.0,0.0062263577877792195,181172.0,0.8337336978030575
animal_visual_only,lstm,256,43,smoothed_frames,attack,19068.0,14395.0,0.7549297251940423,4188.0,0.2196349905601007,211.0,0.011065659744073841,274.0,0.014369624501783092
animal_visual_only,lstm,256,43,smoothed_frames,investigation,76719.0,4617.0,0.06018065928909397,65377.0,0.8521617852161785,1067.0,0.013907897652472008,5658.0,0.0737496578422555
animal_visual_only,lstm,256,43,smoothed_frames,mount,35279.0,52.0,0.0014739646815385924,6191.0,0.1754868335270274,27785.0,0.7875790130105729,1251.0,0.035460188780861136
animal_visual_only,lstm,256,43,smoothed_frames,other,217302.0,4040.0,0.018591637444662266,30756.0,0.1415357428831764,1353.0,0.0062263577877792195,181153.0,0.8336462618843821
animal_visual_only,lstm,256,44,raw_windows,attack,19068.0,12933.0,0.6782567652611705,5283.0,0.27706104468219006,467.0,0.024491294315082863,385.0,0.020190895741556535
animal_visual_only,lstm,256,44,raw_windows,investigation,76719.0,3765.0,0.04907519649630469,65825.0,0.8580012773889127,2527.0,0.03293838553682921,4602.0,0.05998514057795331
animal_visual_only,lstm,256,44,raw_windows,mount,35279.0,66.0,0.0018708013265682133,3358.0,0.0951841038578191,31628.0,0.8965106720712038,227.0,0.006434422744408855
animal_visual_only,lstm,256,44,raw_windows,other,217302.0,3268.0,0.015038978012167399,34014.0,0.1565287019907778,2162.0,0.009949287167168273,177858.0,0.8184830328298865
animal_visual_only,lstm,256,44,smoothed_frames,attack,19068.0,12937.0,0.6784665408013426,5283.0,0.27706104468219006,467.0,0.024491294315082863,381.0,0.019981120201384518
animal_visual_only,lstm,256,44,smoothed_frames,investigation,76719.0,3806.0,0.049609614306755825,65825.0,0.8580012773889127,2527.0,0.03293838553682921,4561.0,0.059450722767502184
animal_visual_only,lstm,256,44,smoothed_frames,mount,35279.0,66.0,0.0018708013265682133,3358.0,0.0951841038578191,31628.0,0.8965106720712038,227.0,0.006434422744408855
animal_visual_only,lstm,256,44,smoothed_frames,other,217302.0,3287.0,0.01512641393084279,34014.0,0.1565287019907778,2162.0,0.009949287167168273,177839.0,0.8183955969112111
animal_visual_only,lstm,512,42,raw_windows,attack,19068.0,15561.0,0.816079295154185,3206.0,0.16813509544787078,83.0,0.004352842458569331,218.0,0.011432766939374868
animal_visual_only,lstm,512,42,raw_windows,investigation,76719.0,6287.0,0.08194840912942035,65583.0,0.8548469088491769,719.0,0.009371863554008786,4130.0,0.053832818467393996
animal_visual_only,lstm,512,42,raw_windows,mount,35279.0,660.0,0.018708013265682135,8460.0,0.23980271549647098,24580.0,0.6967317667734346,1579.0,0.044757504464412255
animal_visual_only,lstm,512,42,raw_windows,other,217302.0,5204.0,0.023948237936144166,35103.0,0.16154016069801475,1130.0,0.005200136215957515,175865.0,0.8093114651498836
animal_visual_only,lstm,512,42,smoothed_frames,attack,19068.0,15565.0,0.8162890706943571,3206.0,0.16813509544787078,83.0,0.004352842458569331,214.0,0.011222991399202853
animal_visual_only,lstm,512,42,smoothed_frames,investigation,76719.0,6328.0,0.08248282693987148,65583.0,0.8548469088491769,719.0,0.009371863554008786,4089.0,0.05329840065694287
animal_visual_only,lstm,512,42,smoothed_frames,mount,35279.0,660.0,0.018708013265682135,8460.0,0.23980271549647098,24580.0,0.6967317667734346,1579.0,0.044757504464412255
animal_visual_only,lstm,512,42,smoothed_frames,other,217302.0,5223.0,0.02403567385481956,35103.0,0.16154016069801475,1130.0,0.005200136215957515,175846.0,0.8092240292312082
animal_visual_only,lstm,512,43,raw_windows,attack,19068.0,9269.0,0.48610237046360394,6871.0,0.3603419341304804,474.0,0.02485840151038389,2454.0,0.12869729389553178
animal_visual_only,lstm,512,43,raw_windows,investigation,76719.0,1878.0,0.024478942634810152,61036.0,0.7955786702120726,1967.0,0.02563902032091138,11838.0,0.15430336683220583
animal_visual_only,lstm,512,43,raw_windows,mount,35279.0,12.0,0.00034014569573967516,5310.0,0.15051447036480625,27360.0,0.7755321862864594,2597.0,0.0736131976529947
animal_visual_only,lstm,512,43,raw_windows,other,217302.0,969.0,0.0044592318524449845,18431.0,0.08481744300558669,1431.0,0.006585305243393986,196471.0,0.9041380198985743
animal_visual_only,lstm,512,43,smoothed_frames,attack,19068.0,9273.0,0.486312146003776,6871.0,0.3603419341304804,474.0,0.02485840151038389,2450.0,0.12848751835535976
animal_visual_only,lstm,512,43,smoothed_frames,investigation,76719.0,1919.0,0.025013360445261278,61036.0,0.7955786702120726,1967.0,0.02563902032091138,11797.0,0.15376894902175473
animal_visual_only,lstm,512,43,smoothed_frames,mount,35279.0,12.0,0.00034014569573967516,5310.0,0.15051447036480625,27360.0,0.7755321862864594,2597.0,0.0736131976529947
animal_visual_only,lstm,512,43,smoothed_frames,other,217302.0,988.0,0.004546667771120377,18431.0,0.08481744300558669,1431.0,0.006585305243393986,196452.0,0.9040505839798989
animal_visual_only,lstm,512,44,raw_windows,attack,19068.0,14931.0,0.7830396475770925,3664.0,0.1921543947975666,340.0,0.017830920914621354,133.0,0.0069750367107195305
animal_visual_only,lstm,512,44,raw_windows,investigation,76719.0,5690.0,0.07416676442602224,65586.0,0.854886012591405,2589.0,0.033746529542877254,2854.0,0.03720069343969551
animal_visual_only,lstm,512,44,raw_windows,mount,35279.0,142.0,0.004025057399586156,2776.0,0.07868703761444486,32305.0,0.9157005584058505,56.0,0.0015873465801184842
animal_visual_only,lstm,512,44,raw_windows,other,217302.0,5573.0,0.02564633551462941,47766.0,0.2198138995499351,2542.0,0.011698005540676109,161421.0,0.7428417593947594
animal_visual_only,lstm,512,44,smoothed_frames,attack,19068.0,14935.0,0.7832494231172645,3664.0,0.1921543947975666,340.0,0.017830920914621354,129.0,0.006765261170547514
animal_visual_only,lstm,512,44,smoothed_frames,investigation,76719.0,5731.0,0.07470118223647336,65586.0,0.854886012591405,2589.0,0.033746529542877254,2813.0,0.036666275629244384
animal_visual_only,lstm,512,44,smoothed_frames,mount,35279.0,142.0,0.004025057399586156,2776.0,0.07868703761444486,32305.0,0.9157005584058505,56.0,0.0015873465801184842
animal_visual_only,lstm,512,44,smoothed_frames,other,217302.0,5592.0,0.0257337714333048,47766.0,0.2198138995499351,2542.0,0.011698005540676109,161402.0,0.7427543234760839
animal_visual_only,lstm,896,42,raw_windows,attack,19068.0,13897.0,0.7288126704426264,4024.0,0.21103419341304805,911.0,0.047776379274176634,236.0,0.01237675687014894
animal_visual_only,lstm,896,42,raw_windows,investigation,76719.0,5139.0,0.0669847104367888,59436.0,0.774723341023736,4821.0,0.06283971376060689,7323.0,0.09545223477886834
animal_visual_only,lstm,896,42,raw_windows,mount,35279.0,298.0,0.008446951444201933,1532.0,0.043425267156098526,33289.0,0.9435925054565039,160.0,0.004535275943195669
animal_visual_only,lstm,896,42,raw_windows,other,217302.0,4922.0,0.022650504827383088,29328.0,0.13496424331115223,2803.0,0.012899098949848599,180249.0,0.8294861529116161
animal_visual_only,lstm,896,42,smoothed_frames,attack,19068.0,13901.0,0.7290224459827984,4024.0,0.21103419341304805,911.0,0.047776379274176634,232.0,0.012166981329976925
animal_visual_only,lstm,896,42,smoothed_frames,investigation,76719.0,5180.0,0.06751912824723992,59436.0,0.774723341023736,4821.0,0.06283971376060689,7282.0,0.09491781696841721
animal_visual_only,lstm,896,42,smoothed_frames,mount,35279.0,298.0,0.008446951444201933,1532.0,0.043425267156098526,33289.0,0.9435925054565039,160.0,0.004535275943195669
animal_visual_only,lstm,896,42,smoothed_frames,other,217302.0,4941.0,0.02273794074605848,29328.0,0.13496424331115223,2803.0,0.012899098949848599,180230.0,0.8293987169929407
animal_visual_only,lstm,896,43,raw_windows,attack,19068.0,10463.0,0.5487203692049507,7790.0,0.40853786448500107,437.0,0.022917977763792743,378.0,0.019823788546255508
animal_visual_only,lstm,896,43,raw_windows,investigation,76719.0,2790.0,0.03636648027216204,67449.0,0.8791694365150745,2075.0,0.027046755041124103,4405.0,0.05741732817163936
animal_visual_only,lstm,896,43,raw_windows,mount,35279.0,551.0,0.015618356529380085,4554.0,0.12908529153320672,30050.0,0.8517815130814366,124.0,0.0035148388559766435
animal_visual_only,lstm,896,43,raw_windows,other,217302.0,1924.0,0.008854037238497574,45535.0,0.20954708194126148,2078.0,0.00956272836881391,167765.0,0.7720361524514271
animal_visual_only,lstm,896,43,smoothed_frames,attack,19068.0,10467.0,0.5489301447451227,7790.0,0.40853786448500107,437.0,0.022917977763792743,374.0,0.01961401300608349
animal_visual_only,lstm,896,43,smoothed_frames,investigation,76719.0,2831.0,0.036900898082613175,67449.0,0.8791694365150745,2075.0,0.027046755041124103,4364.0,0.056882910361188234
animal_visual_only,lstm,896,43,smoothed_frames,mount,35279.0,551.0,0.015618356529380085,4554.0,0.12908529153320672,30050.0,0.8517815130814366,124.0,0.0035148388559766435
animal_visual_only,lstm,896,43,smoothed_frames,other,217302.0,1943.0,0.008941473157172967,45535.0,0.20954708194126148,2078.0,0.00956272836881391,167746.0,0.7719487165327517
animal_visual_only,lstm,896,44,raw_windows,attack,19068.0,14915.0,0.7822005454164045,3334.0,0.1748479127333753,610.0,0.03199076987623243,209.0,0.010960771973987832
animal_visual_only,lstm,896,44,raw_windows,investigation,76719.0,5659.0,0.07376269242299821,63782.0,0.8313716289315554,3766.0,0.049088231077047406,3512.0,0.045777447568398966
animal_visual_only,lstm,896,44,raw_windows,mount,35279.0,72.0,0.002040874174438051,2043.0,0.0579098046996797,33067.0,0.9372998100853199,97.0,0.0027495110405623743
animal_visual_only,lstm,896,44,raw_windows,other,217302.0,5034.0,0.02316591655852224,39561.0,0.18205538835353563,3885.0,0.017878344423889334,168822.0,0.7769003506640528
animal_visual_only,lstm,896,44,smoothed_frames,attack,19068.0,14919.0,0.7824103209565765,3334.0,0.1748479127333753,610.0,0.03199076987623243,205.0,0.010750996433815817
animal_visual_only,lstm,896,44,smoothed_frames,investigation,76719.0,5700.0,0.07429711023344934,63782.0,0.8313716289315554,3766.0,0.049088231077047406,3471.0,0.045243029757947834
animal_visual_only,lstm,896,44,smoothed_frames,mount,35279.0,72.0,0.002040874174438051,2043.0,0.0579098046996797,33067.0,0.9372998100853199,97.0,0.0027495110405623743
animal_visual_only,lstm,896,44,smoothed_frames,other,217302.0,5053.0,0.023253352477197634,39561.0,0.18205538835353563,3885.0,0.017878344423889334,168803.0,0.7768129147453774
full,attention,256,42,raw_windows,attack,19068.0,16999.0,0.8914936018460248,1442.0,0.07562408223201175,323.0,0.016939374868890286,304.0,0.01594294105307321
full,attention,256,42,raw_windows,investigation,76719.0,4645.0,0.06054562754988986,63755.0,0.8310196952515022,1863.0,0.024283423923669493,6456.0,0.08415125327493841
full,attention,256,42,raw_windows,mount,35279.0,77.0,0.0021826015476629156,1542.0,0.04370872190254826,33555.0,0.9511324017120667,105.0,0.002976274837722158
full,attention,256,42,raw_windows,other,217302.0,2839.0,0.013064767006286183,18125.0,0.08340926452586722,1635.0,0.007524090896540298,194703.0,0.8960018775713063
full,attention,256,42,smoothed_frames,attack,19068.0,17003.0,0.8917033773861968,1442.0,0.07562408223201175,323.0,0.016939374868890286,300.0,0.015733165512901194
full,attention,256,42,smoothed_frames,investigation,76719.0,4686.0,0.061080045360340986,63755.0,0.8310196952515022,1863.0,0.024283423923669493,6415.0,0.08361683546448728
full,attention,256,42,smoothed_frames,mount,35279.0,77.0,0.0021826015476629156,1542.0,0.04370872190254826,33555.0,0.9511324017120667,105.0,0.002976274837722158
full,attention,256,42,smoothed_frames,other,217302.0,2858.0,0.013152202924961574,18125.0,0.08340926452586722,1635.0,0.007524090896540298,194684.0,0.8959144416526309
full,attention,256,43,raw_windows,attack,19068.0,16326.0,0.856198867212083,2285.0,0.11983427732326411,138.0,0.00723725613593455,319.0,0.016729599328718273
full,attention,256,43,raw_windows,investigation,76719.0,3645.0,0.04751104680717945,63546.0,0.8282954678762757,862.0,0.011235808600216375,8666.0,0.11295767671632842
full,attention,256,43,raw_windows,mount,35279.0,118.0,0.003344766008106806,3053.0,0.08653873409110235,31863.0,0.9031718586127725,245.0,0.0069446412880183675
full,attention,256,43,raw_windows,other,217302.0,2519.0,0.01159216206017432,14860.0,0.06838409218506962,1137.0,0.005232349449153712,198786.0,0.9147913963056024
full,attention,256,43,smoothed_frames,attack,19068.0,16330.0,0.856408642752255,2285.0,0.11983427732326411,138.0,0.00723725613593455,315.0,0.016519823788546256
full,attention,256,43,smoothed_frames,investigation,76719.0,3686.0,0.048045464617630575,63546.0,0.8282954678762757,862.0,0.011235808600216375,8625.0,0.11242325890587729
full,attention,256,43,smoothed_frames,mount,35279.0,118.0,0.003344766008106806,3053.0,0.08653873409110235,31863.0,0.9031718586127725,245.0,0.0069446412880183675
