source,track,head,capacity,seed,split,video_id,gt_sequence_length,pred_sequence_length,sequence_length_ratio_pred_over_gt,n,ngram_tp,pred_ngram_total,gt_ngram_total,ngram_precision,ngram_recall,ngram_f1
model,LSTM-512,lstm,512,44,test_1,Mouse060_20160526_18-16-27,109,108,0.9908256880733946,4,88,105,106,0.8380952380952381,0.8301886792452831,0.8341232227488152
model,LSTM-896,lstm,896,42,test_1,Mouse060_20160526_18-16-27,109,113,1.036697247706422,1,105,113,109,0.9292035398230089,0.963302752293578,0.9459459459459459
model,LSTM-896,lstm,896,42,test_1,Mouse060_20160526_18-16-27,109,113,1.036697247706422,2,98,112,108,0.875,0.9074074074074074,0.8909090909090909
model,LSTM-896,lstm,896,42,test_1,Mouse060_20160526_18-16-27,109,113,1.036697247706422,3,84,111,107,0.7567567567567568,0.7850467289719626,0.7706422018348625
model,LSTM-896,lstm,896,42,test_1,Mouse060_20160526_18-16-27,109,113,1.036697247706422,4,75,110,106,0.6818181818181818,0.7075471698113207,0.6944444444444443
model,LSTM-896,lstm,896,43,test_1,Mouse060_20160526_18-16-27,109,100,0.9174311926605505,1,100,100,109,1.0,0.9174311926605505,0.9569377990430622
model,LSTM-896,lstm,896,43,test_1,Mouse060_20160526_18-16-27,109,100,0.9174311926605505,2,99,99,108,1.0,0.9166666666666666,0.9565217391304348
model,LSTM-896,lstm,896,43,test_1,Mouse060_20160526_18-16-27,109,100,0.9174311926605505,3,88,98,107,0.8979591836734694,0.822429906542056,0.8585365853658536
model,LSTM-896,lstm,896,43,test_1,Mouse060_20160526_18-16-27,109,100,0.9174311926605505,4,82,97,106,0.845360824742268,0.7735849056603774,0.8078817733990147
model,LSTM-896,lstm,896,44,test_1,Mouse060_20160526_18-16-27,109,105,0.963302752293578,1,104,105,109,0.9904761904761905,0.9541284403669725,0.9719626168224299
model,LSTM-896,lstm,896,44,test_1,Mouse060_20160526_18-16-27,109,105,0.963302752293578,2,102,104,108,0.9807692307692307,0.9444444444444444,0.9622641509433962
model,LSTM-896,lstm,896,44,test_1,Mouse060_20160526_18-16-27,109,105,0.963302752293578,3,91,103,107,0.883495145631068,0.8504672897196262,0.8666666666666667
model,LSTM-896,lstm,896,44,test_1,Mouse060_20160526_18-16-27,109,105,0.963302752293578,4,85,102,106,0.8333333333333334,0.8018867924528302,0.8173076923076923
model,Attention-256,attention,256,42,test_1,Mouse061_20160526_18-38-49,63,55,0.873015873015873,1,53,55,63,0.9636363636363636,0.8412698412698413,0.8983050847457628
model,Attention-256,attention,256,42,test_1,Mouse061_20160526_18-38-49,63,55,0.873015873015873,2,50,54,62,0.9259259259259259,0.8064516129032258,0.8620689655172414
model,Attention-256,attention,256,42,test_1,Mouse061_20160526_18-38-49,63,55,0.873015873015873,3,48,53,61,0.9056603773584906,0.7868852459016393,0.8421052631578947
model,Attention-256,attention,256,42,test_1,Mouse061_20160526_18-38-49,63,55,0.873015873015873,4,46,52,60,0.8846153846153846,0.7666666666666667,0.8214285714285715
model,Attention-256,attention,256,43,test_1,Mouse061_20160526_18-38-49,63,64,1.0158730158730158,1,61,64,63,0.953125,0.9682539682539683,0.9606299212598425
model,Attention-256,attention,256,43,test_1,Mouse061_20160526_18-38-49,63,64,1.0158730158730158,2,57,63,62,0.9047619047619048,0.9193548387096774,0.912
model,Attention-256,attention,256,43,test_1,Mouse061_20160526_18-38-49,63,64,1.0158730158730158,3,55,62,61,0.8870967741935484,0.9016393442622951,0.8943089430894309
model,Attention-256,attention,256,43,test_1,Mouse061_20160526_18-38-49,63,64,1.0158730158730158,4,53,61,60,0.8688524590163934,0.8833333333333333,0.8760330578512396
model,Attention-256,attention,256,44,test_1,Mouse061_20160526_18-38-49,63,56,0.8888888888888888,1,55,56,63,0.9821428571428571,0.873015873015873,0.9243697478991596
model,Attention-256,attention,256,44,test_1,Mouse061_20160526_18-38-49,63,56,0.8888888888888888,2,53,55,62,0.9636363636363636,0.8548387096774194,0.905982905982906
model,Attention-256,attention,256,44,test_1,Mouse061_20160526_18-38-49,63,56,0.8888888888888888,3,51,54,61,0.9444444444444444,0.8360655737704918,0.8869565217391304
model,Attention-256,attention,256,44,test_1,Mouse061_20160526_18-38-49,63,56,0.8888888888888888,4,48,53,60,0.9056603773584906,0.8,0.8495575221238938
model,Attention-512,attention,512,42,test_1,Mouse061_20160526_18-38-49,63,60,0.9523809523809523,1,57,60,63,0.95,0.9047619047619048,0.9268292682926829
model,Attention-512,attention,512,42,test_1,Mouse061_20160526_18-38-49,63,60,0.9523809523809523,2,53,59,62,0.8983050847457628,0.8548387096774194,0.8760330578512397
model,Attention-512,attention,512,42,test_1,Mouse061_20160526_18-38-49,63,60,0.9523809523809523,3,51,58,61,0.8793103448275862,0.8360655737704918,0.8571428571428572
model,Attention-512,attention,512,42,test_1,Mouse061_20160526_18-38-49,63,60,0.9523809523809523,4,49,57,60,0.8596491228070176,0.8166666666666667,0.8376068376068376
model,Attention-512,attention,512,43,test_1,Mouse061_20160526_18-38-49,63,59,0.9365079365079365,1,55,59,63,0.9322033898305084,0.873015873015873,0.9016393442622951
model,Attention-512,attention,512,43,test_1,Mouse061_20160526_18-38-49,63,59,0.9365079365079365,2,50,58,62,0.8620689655172413,0.8064516129032258,0.8333333333333334
