stream,head,capacity,seed,class,threshold,matched_bouts,median_tiou,mean_tiou,median_abs_start_offset_frames,median_abs_end_offset_frames,median_abs_mean_boundary_offset_frames,q75_abs_mean_boundary_offset_frames,median_duration_error_frames,median_abs_duration_error_frames,median_pred_duration_frames,median_gt_duration_frames
animal_visual_only,lstm,512,42,attack,0.25,173,0.5446428571428571,0.5550587048719752,13.0,17.0,19.0,37.5,22.0,32.0,79.0,64.0
animal_visual_only,lstm,512,42,attack,0.5,100,0.6747967479674797,0.6935184824545871,9.0,10.0,13.25,22.75,14.5,21.0,79.0,67.5
animal_visual_only,lstm,512,42,investigation,0.1,741,0.4736842105263157,0.4924417691372,15.0,13.0,17.5,34.5,25.0,28.0,63.0,38.0
animal_visual_only,lstm,512,42,investigation,0.25,606,0.5625,0.5665872212656642,13.0,11.0,15.0,30.375,21.5,26.0,71.0,46.0
animal_visual_only,lstm,512,42,investigation,0.5,359,0.6875,0.7045655634332574,12.0,8.0,11.0,22.0,16.0,19.0,79.0,65.0
animal_visual_only,lstm,512,42,mount,0.1,135,0.7272727272727273,0.6702699576487802,8.0,17.0,16.0,28.75,-18.0,26.0,79.0,105.0
animal_visual_only,lstm,512,42,mount,0.25,129,0.7539267015706806,0.7045815396446339,8.0,16.0,15.5,26.0,-16.0,25.0,95.0,102.0
animal_visual_only,lstm,512,42,mount,0.5,104,0.7931014150943396,0.7777721905301854,7.5,14.0,12.0,22.5,-11.0,22.5,103.0,113.5
animal_visual_only,lstm,512,43,attack,0.1,190,0.5105878057685287,0.5116434140482932,10.5,13.5,15.5,31.875,-5.0,23.0,47.0,58.0
animal_visual_only,lstm,512,43,attack,0.25,160,0.5789377289377289,0.580307227938272,9.0,12.0,12.75,24.5,-3.0,20.0,47.0,58.0
animal_visual_only,lstm,512,43,attack,0.5,101,0.675,0.6977906492542597,7.0,7.0,8.5,15.0,0.0,13.0,47.0,55.0
animal_visual_only,lstm,512,43,investigation,0.1,743,0.528125,0.5324202283806109,10.0,11.0,13.0,29.0,13.0,21.0,63.0,39.0
animal_visual_only,lstm,512,43,investigation,0.25,652,0.5811826471400939,0.5869706222949667,9.5,10.0,12.0,24.0,11.0,19.0,63.0,45.5
animal_visual_only,lstm,512,43,investigation,0.5,405,0.7125,0.7234826234602394,8.0,7.0,8.5,17.0,8.0,13.0,79.0,62.0
animal_visual_only,lstm,512,43,mount,0.1,154,0.7661189263481284,0.6881447722474235,9.0,14.5,13.25,22.5,-2.0,20.0,79.0,101.5
animal_visual_only,lstm,512,43,mount,0.25,144,0.7876893939393939,0.7316761287207068,8.5,13.0,12.0,20.25,0.5,17.0,95.0,99.5
animal_visual_only,lstm,512,43,mount,0.5,123,0.8135593220338984,0.7944629455937188,8.0,12.0,11.5,18.0,1.0,17.0,111.0,102.0
animal_visual_only,lstm,512,44,attack,0.1,204,0.46011363636363634,0.49584059092982935,13.5,18.0,22.0,47.625,19.0,32.0,79.0,56.5
animal_visual_only,lstm,512,44,attack,0.25,174,0.504670282369146,0.549305731793653,12.0,15.0,17.75,35.25,16.5,26.0,79.0,59.0
animal_visual_only,lstm,512,44,attack,0.5,91,0.7125,0.7108524699146453,7.0,10.0,10.0,19.0,12.0,18.0,79.0,61.0
animal_visual_only,lstm,512,44,investigation,0.1,742,0.4375,0.463602921840572,19.0,13.0,19.5,38.5,26.0,31.5,63.0,36.0
animal_visual_only,lstm,512,44,investigation,0.25,592,0.5199431818181819,0.5399215972090478,17.0,12.0,17.0,35.125,23.0,27.0,71.0,46.5
animal_visual_only,lstm,512,44,investigation,0.5,323,0.6666666666666666,0.6876759329541945,13.0,8.0,12.5,26.25,17.0,20.0,95.0,66.0
animal_visual_only,lstm,512,44,mount,0.1,165,0.7878787878787878,0.7278610395519738,8.0,14.0,13.0,20.0,4.0,17.0,95.0,99.0
animal_visual_only,lstm,512,44,mount,0.25,158,0.792059748427673,0.7590400219903672,8.0,14.0,13.0,19.875,4.5,17.0,103.0,100.5
animal_visual_only,lstm,512,44,mount,0.5,141,0.8125,0.8043051902606427,8.0,13.0,12.0,18.5,5.0,15.0,127.0,110.0
animal_visual_only,lstm,896,42,attack,0.1,207,0.4571428571428571,0.48834783084352723,15.0,17.0,21.5,45.25,15.0,35.0,79.0,56.0
animal_visual_only,lstm,896,42,attack,0.25,169,0.5208333333333334,0.5597493090501097,12.0,14.0,17.5,33.0,13.0,26.0,79.0,60.0
animal_visual_only,lstm,896,42,attack,0.5,93,0.7158469945355191,0.7133661811337306,8.0,9.0,10.0,17.0,8.0,16.0,79.0,59.0
animal_visual_only,lstm,896,42,investigation,0.1,730,0.46770833333333334,0.48514162734011923,13.0,12.0,16.5,33.5,16.0,26.0,63.0,38.0
animal_visual_only,lstm,896,42,investigation,0.25,604,0.5357142857142857,0.5583301008748965,12.0,10.0,14.5,28.625,14.0,24.0,63.0,47.0
animal_visual_only,lstm,896,42,investigation,0.5,343,0.6835443037974683,0.7017117695594434,10.0,9.0,11.0,20.25,9.0,16.0,79.0,63.0
animal_visual_only,lstm,896,42,mount,0.1,172,0.7720146048109966,0.7325980149418462,10.0,11.0,12.0,19.5,10.5,19.0,95.0,95.5
animal_visual_only,lstm,896,42,mount,0.25,169,0.7766990291262136,0.7456418125057059,10.0,11.0,12.0,18.5,11.0,19.0,95.0,96.0
animal_visual_only,lstm,896,42,mount,0.5,153,0.79375,0.7836772176076852,10.0,11.0,11.5,18.5,10.0,17.0,127.0,101.0
animal_visual_only,lstm,896,43,attack,0.1,180,0.49609375,0.5069265937572947,15.0,14.0,18.25,36.0,11.0,27.5,63.0,59.0
animal_visual_only,lstm,896,43,attack,0.25,150,0.5775240384615384,0.5730567430839439,12.0,13.0,14.0,31.25,11.0,23.0,63.0,60.5
animal_visual_only,lstm,896,43,attack,0.5,91,0.703125,0.7043120051105896,8.0,9.0,10.5,17.25,12.0,19.0,79.0,65.0
animal_visual_only,lstm,896,43,investigation,0.1,789,0.4375,0.46043506592483124,17.0,15.0,19.5,39.5,30.0,33.0,79.0,34.0
animal_visual_only,lstm,896,43,investigation,0.25,608,0.5295085139318885,0.5475268282528094,15.0,11.5,16.25,35.0,24.0,28.0,79.0,46.5
animal_visual_only,lstm,896,43,investigation,0.5,346,0.6666666666666666,0.6888507795379701,12.5,8.0,12.0,26.5,18.0,20.0,79.0,65.0
animal_visual_only,lstm,896,43,mount,0.1,155,0.76,0.7081813278731272,8.0,15.0,13.0,22.0,-3.0,17.0,79.0,102.0
animal_visual_only,lstm,896,43,mount,0.25,148,0.7727480108037084,0.7387186466274835,8.5,14.0,12.25,21.0,-2.0,17.0,95.0,102.0
animal_visual_only,lstm,896,43,mount,0.5,130,0.7978365384615385,0.7903942755499016,8.0,13.0,11.75,18.5,-2.0,16.0,103.0,102.5
animal_visual_only,lstm,896,44,attack,0.1,203,0.4660194174757281,0.4976428035846476,15.0,17.0,21.5,46.25,20.0,36.0,79.0,58.0
animal_visual_only,lstm,896,44,attack,0.25,171,0.5208333333333334,0.5589035820162188,13.0,14.0,18.5,33.5,18.0,30.0,79.0,61.0
animal_visual_only,lstm,896,44,attack,0.5,95,0.6875,0.7013602467262152,9.0,10.0,11.5,20.5,12.0,20.0,79.0,64.0
animal_visual_only,lstm,896,44,investigation,0.1,741,0.4642857142857143,0.47730712294983635,17.0,12.0,18.0,34.0,23.0,28.0,63.0,37.0
animal_visual_only,lstm,896,44,investigation,0.25,600,0.5278979765967821,0.5525430268578937,15.0,11.0,16.0,30.5,21.0,24.0,63.0,44.0
animal_visual_only,lstm,896,44,investigation,0.5,341,0.6756756756756757,0.6956626037421253,12.0,8.0,11.5,25.5,14.0,18.0,79.0,65.0
animal_visual_only,lstm,896,44,mount,0.1,171,0.78125,0.7277637577187324,9.0,13.0,12.0,21.0,10.0,19.0,95.0,96.0
animal_visual_only,lstm,896,44,mount,0.25,162,0.79032874617737,0.7622156303390208,9.0,12.0,11.75,19.375,11.0,18.0,111.0,98.5
animal_visual_only,lstm,896,44,mount,0.5,148,0.810290404040404,0.7987641788304292,8.0,11.0,11.0,18.5,9.5,17.0,127.0,102.5
full,attention,256,42,attack,0.1,228,0.5221354166666667,0.5391119450414155,16.0,13.0,17.0,34.625,23.0,29.0,79.0,56.0
full,attention,256,42,attack,0.25,205,0.5625,0.5804750794130531,15.0,12.0,16.0,31.5,21.0,26.0,79.0,58.0
full,attention,256,42,attack,0.5,125,0.7053571428571429,0.7105319624854018,11.0,8.0,11.5,23.0,15.0,20.0,95.0,70.0
full,attention,256,42,investigation,0.1,727,0.625,0.605521986588356,8.0,9.0,10.0,19.5,9.0,15.0,47.0,41.0
full,attention,256,42,investigation,0.25,663,0.6536458333333334,0.6487251698924326,8.0,9.0,9.5,17.0,8.0,14.0,63.0,47.0
full,attention,256,42,investigation,0.5,485,0.75,0.7473614195708972,7.0,7.0,7.5,13.0,6.0,11.0,63.0,60.0
full,attention,256,42,mount,0.1,176,0.8288352272727273,0.7805123150102701,8.0,9.0,8.75,15.5,5.0,13.5,95.0,90.5
full,attention,256,42,mount,0.25,172,0.8333333333333334,0.7935916635233609,8.0,9.0,8.5,15.5,5.0,13.5,95.0,95.5
full,attention,256,42,mount,0.5,159,0.8513513513513513,0.8281671767898436,7.0,7.0,8.0,14.0,5.0,12.0,95.0,102.0
full,attention,256,43,attack,0.1,228,0.542572463768116,0.5583743391174345,13.5,10.5,16.5,32.0,17.0,26.0,79.0,54.5
full,attention,256,43,attack,0.25,211,0.5681818181818182,0.5893588511745648,13.0,10.0,15.0,30.75,17.0,24.0,79.0,57.0
full,attention,256,43,attack,0.5,132,0.6994318181818182,0.7131670784524679,9.0,7.0,9.0,19.75,13.5,16.0,79.0,66.0
full,attention,256,43,investigation,0.1,726,0.6517857142857143,0.6168051834906937,7.0,9.0,9.5,18.5,8.5,15.0,47.0,42.0
full,attention,256,43,investigation,0.25,669,0.675,0.6555810958216507,7.0,8.0,9.0,16.5,8.0,14.0,47.0,47.0
full,attention,256,43,investigation,0.5,487,0.7647058823529411,0.7587092322502121,6.0,7.0,7.0,12.0,5.0,10.0,63.0,59.0
full,attention,256,43,mount,0.1,163,0.8181818181818182,0.7690835630930177,6.0,10.0,9.5,16.0,-6.0,14.0,79.0,101.0
full,attention,256,43,mount,0.25,161,0.8201754385964912,0.7859309231068702,6.0,10.0,9.5,15.5,-6.0,14.0,95.0,102.0
full,attention,256,43,mount,0.5,149,0.8295964125560538,0.8172386545986806,6.0,10.0,9.0,15.0,-6.0,12.0,95.0,105.0
full,attention,256,44,attack,0.1,221,0.53125,0.5313209370622491,15.0,14.0,17.0,37.5,23.0,30.0,79.0,55.0
full,attention,256,44,attack,0.25,194,0.5677083333333333,0.5799332592882911,14.0,13.0,15.25,32.0,21.0,27.5,79.0,59.5
full,attention,256,44,attack,0.5,123,0.6875,0.6971178933736267,12.0,8.0,12.0,20.75,17.0,21.0,79.0,66.0
full,attention,256,44,investigation,0.1,751,0.6,0.5819241520069903,9.0,9.0,11.0,22.5,13.0,18.0,63.0,39.0
