stream,head,capacity,class,threshold,n_seeds,bout_precision_mean,bout_precision_sd,bout_recall_mean,bout_recall_sd,bout_f1_mean,bout_f1_sd,tp_mean,fp_mean,fn_mean
full,lstm,512,mount,0.1,3,0.8495741731035849,0.029611148507343546,0.7932692307692308,0.017334381132038376,0.8203072062522084,0.019322453671153348,165.0,29.333333333333332,43.0
full,lstm,512,mount,0.25,3,0.827193503664092,0.030262712062674498,0.7724358974358975,0.02272026743390682,0.7987320986884496,0.0228355098178107,160.66666666666666,33.666666666666664,47.333333333333336
full,lstm,512,mount,0.5,3,0.7172707466825115,0.026329375155737047,0.6698717948717948,0.023715782991904976,0.6926357797593067,0.022185605560085125,139.33333333333334,55.0,68.66666666666667
full,lstm,896,attack,0.1,3,0.8375598086124402,0.04147196253437083,0.6235955056179775,0.012872403637516391,0.7143486969985101,0.007978190813483239,222.0,43.666666666666664,134.0
full,lstm,896,attack,0.25,3,0.777127385913464,0.037086416223661385,0.5786516853932584,0.012872403637516348,0.6628369428731432,0.005431654511606902,206.0,59.666666666666664,150.0
full,lstm,896,attack,0.5,3,0.47641354118433915,0.02923778133027777,0.3548689138576779,0.019729688675754198,0.4064426144659545,0.01959456021463767,126.33333333333333,139.33333333333334,229.66666666666666
full,lstm,896,investigation,0.1,3,0.7869803316415398,0.001825587012785389,0.5121563281072484,0.018808636297727662,0.620377658737158,0.014324904598499383,751.3333333333334,203.33333333333334,715.6666666666666
full,lstm,896,investigation,0.25,3,0.700335470070289,0.016799223276058407,0.45557827766416725,0.011930729918495883,0.55193514612008,0.010374834835542659,668.3333333333334,286.3333333333333,798.6666666666666
full,lstm,896,investigation,0.5,3,0.4728916954897948,0.0231758078379278,0.30743012951601906,0.00786132419541293,0.3725442711264512,0.012027556324227202,451.0,503.6666666666667,1016.0
full,lstm,896,mount,0.1,3,0.8027887922845905,0.01801901638818974,0.7692307692307692,0.017334381132038425,0.7855954302685517,0.015733567526560372,160.0,39.333333333333336,48.0
full,lstm,896,mount,0.25,3,0.7758810594945049,0.01640564293123446,0.7435897435897436,0.023715782991905028,0.7593376894722329,0.01907587237125443,154.66666666666666,44.666666666666664,53.333333333333336
full,lstm,896,mount,0.5,3,0.6670486376368729,0.021120381247511023,0.639423076923077,0.03002402883845384,0.6528966398002849,0.025348636926188273,133.0,66.33333333333333,75.0
no_group_visual,attention,256,attack,0.1,3,0.7722433880182957,0.06978419532213134,0.6245318352059925,0.02070537863997751,0.6901187322322665,0.03973192470497987,222.33333333333334,66.66666666666667,133.66666666666666
no_group_visual,attention,256,attack,0.25,3,0.6866615771136066,0.06673594191718314,0.5552434456928839,0.02548812282549851,0.6135951176892976,0.0410646789748202,197.66666666666666,91.33333333333333,158.33333333333334
no_group_visual,attention,256,attack,0.5,3,0.4131940007170634,0.03730116772809276,0.33426966292134835,0.0156397875360394,0.36932259534338335,0.02323458451161437,119.0,170.0,237.0
no_group_visual,attention,256,investigation,0.1,3,0.7995180574613873,0.011820217207968733,0.5042035900931606,0.022632178318156528,0.6180744590526107,0.013430776566760977,739.6666666666666,186.0,727.3333333333334
no_group_visual,attention,256,investigation,0.25,3,0.7260871744228591,0.023786636664110586,0.4576232674392184,0.014877342908312493,0.5611053334931424,0.008630148956481197,671.3333333333334,254.33333333333334,795.6666666666666
no_group_visual,attention,256,investigation,0.5,3,0.5082387285383702,0.032919888388136025,0.3199272892524427,0.007160168714650634,0.39246291049829063,0.013346978355378679,469.3333333333333,456.3333333333333,997.6666666666666
