track,head,capacity,seed,prediction_type,threshold,class,duration_bin,gt_bouts,matched_bouts,recall
Attention-256,attention,256,43,raw_windows,0.5,mount,0.25-0.5,13,2,0.15384615384615385
Attention-256,attention,256,43,raw_windows,0.5,mount,0.5-1,25,2,0.08
Attention-256,attention,256,43,raw_windows,0.5,mount,1-2,34,6,0.17647058823529413
Attention-256,attention,256,43,raw_windows,0.5,mount,2-4,62,8,0.12903225806451613
Attention-256,attention,256,43,raw_windows,0.5,mount,4-8,30,6,0.2
Attention-256,attention,256,43,raw_windows,0.5,mount,>=8,39,12,0.3076923076923077
Attention-256,attention,256,43,smoothed_frames,0.25,attack,<0.25,26,7,0.2692307692307692
Attention-256,attention,256,43,smoothed_frames,0.25,attack,0.25-0.5,46,11,0.2391304347826087
Attention-256,attention,256,43,smoothed_frames,0.25,attack,0.5-1,77,16,0.2077922077922078
Attention-256,attention,256,43,smoothed_frames,0.25,attack,1-2,91,27,0.2967032967032967
Attention-256,attention,256,43,smoothed_frames,0.25,attack,2-4,78,15,0.19230769230769232
Attention-256,attention,256,43,smoothed_frames,0.25,attack,4-8,36,7,0.19444444444444445
Attention-256,attention,256,43,smoothed_frames,0.25,attack,>=8,2,0,0.0
Attention-256,attention,256,43,smoothed_frames,0.25,investigation,<0.25,220,42,0.19090909090909092
Attention-256,attention,256,43,smoothed_frames,0.25,investigation,0.25-0.5,301,94,0.3122923588039867
Attention-256,attention,256,43,smoothed_frames,0.25,investigation,0.5-1,379,126,0.3324538258575198
Attention-256,attention,256,43,smoothed_frames,0.25,investigation,1-2,238,97,0.40756302521008403
Attention-256,attention,256,43,smoothed_frames,0.25,investigation,2-4,165,71,0.4303030303030303
Attention-256,attention,256,43,smoothed_frames,0.25,investigation,4-8,111,64,0.5765765765765766
Attention-256,attention,256,43,smoothed_frames,0.25,investigation,>=8,53,39,0.7358490566037735
Attention-256,attention,256,43,smoothed_frames,0.25,mount,<0.25,5,1,0.2
Attention-256,attention,256,43,smoothed_frames,0.25,mount,0.25-0.5,13,3,0.23076923076923078
Attention-256,attention,256,43,smoothed_frames,0.25,mount,0.5-1,25,2,0.08
Attention-256,attention,256,43,smoothed_frames,0.25,mount,1-2,34,6,0.17647058823529413
Attention-256,attention,256,43,smoothed_frames,0.25,mount,2-4,62,8,0.12903225806451613
Attention-256,attention,256,43,smoothed_frames,0.25,mount,4-8,30,6,0.2
Attention-256,attention,256,43,smoothed_frames,0.25,mount,>=8,39,12,0.3076923076923077
