track,head,capacity,seed,model_name,class,gt_start_frame,gt_end_frame,gt_duration_frames,overlapping_pred_bouts,covered_gt_frames,gt_coverage_fraction,split,video_id
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,20319,20434,116,2,97,0.8362068965517241,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,20649,20660,12,0,0,0.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,20718,20762,45,1,27,0.6,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,mount,20764,20775,12,0,0,0.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,20900,20908,9,0,0,0.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,21123,21149,27,1,27,1.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,mount,21151,21193,43,1,32,0.7441860465116279,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,21195,21250,56,1,56,1.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,21264,21290,27,1,11,0.4074074074074074,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,21449,21472,24,1,23,0.9583333333333334,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,21515,21548,34,1,34,1.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,22071,22090,20,1,20,1.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,22127,22135,9,0,0,0.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,22729,22776,48,1,41,0.8541666666666666,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,22972,23011,40,1,36,0.9,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,mount,23013,23050,38,1,38,1.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,23052,23062,11,0,0,0.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,23453,23500,48,1,45,0.9375,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,24189,24228,40,0,0,0.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,6,22,17,1,17,1.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,49,123,75,1,75,1.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,152,293,142,1,136,0.9577464788732394,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,313,689,377,1,375,0.9946949602122016,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,716,1090,375,1,372,0.992,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,1117,1288,172,1,169,0.9825581395348837,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,1306,1602,297,1,297,1.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,1653,1780,128,1,123,0.9609375,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,1801,1967,167,1,167,1.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,2178,2323,146,1,142,0.9726027397260274,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,mount,2325,2421,97,1,91,0.9381443298969072,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,2559,2597,39,1,32,0.8205128205128205,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,mount,2599,2664,66,1,57,0.8636363636363636,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,2666,2680,15,1,15,1.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,2820,2848,29,1,28,0.9655172413793104,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,mount,2850,3106,257,1,254,0.9883268482490273,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,3108,3138,31,1,31,1.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,43,yolo_sppf_full_attention256_seed43,investigation,3295,3311,17,1,16,0.9411764705882353,test_1,Mouse060_20160526_18-16-27
