model_name,head,capacity,seed,track,split,video_id,gt_sequence_length,pred_sequence_length,sequence_length_ratio_pred_over_gt,levenshtein_distance,normalized_edit_similarity,n,ngram_tp,pred_ngram_total,gt_ngram_total,ngram_precision,ngram_recall,ngram_f1
yolo_sppf_full_attention256_seed43,attention,256,43,Attention-256,test_1,Mouse061_20160526_18-38-49,63,64,1.0158730158730158,11,0.828125,3,55,62,61,0.8870967741935484,0.9016393442622951,0.8943089430894309
yolo_sppf_full_attention256_seed43,attention,256,43,Attention-256,test_1,Mouse061_20160526_18-38-49,63,64,1.0158730158730158,11,0.828125,4,53,61,60,0.8688524590163934,0.8833333333333333,0.8760330578512396
yolo_sppf_full_attention256_seed44,attention,256,44,Attention-256,test_1,Mouse061_20160526_18-38-49,63,56,0.8888888888888888,14,0.7777777777777778,1,55,56,63,0.9821428571428571,0.873015873015873,0.9243697478991596
yolo_sppf_full_attention256_seed44,attention,256,44,Attention-256,test_1,Mouse061_20160526_18-38-49,63,56,0.8888888888888888,14,0.7777777777777778,2,53,55,62,0.9636363636363636,0.8548387096774194,0.905982905982906
yolo_sppf_full_attention256_seed44,attention,256,44,Attention-256,test_1,Mouse061_20160526_18-38-49,63,56,0.8888888888888888,14,0.7777777777777778,3,51,54,61,0.9444444444444444,0.8360655737704918,0.8869565217391304
yolo_sppf_full_attention256_seed44,attention,256,44,Attention-256,test_1,Mouse061_20160526_18-38-49,63,56,0.8888888888888888,14,0.7777777777777778,4,48,53,60,0.9056603773584906,0.8,0.8495575221238938
yolo_sppf_full_attention512_seed42,attention,512,42,Attention-512,test_1,Mouse061_20160526_18-38-49,63,60,0.9523809523809523,13,0.7936507936507937,1,57,60,63,0.95,0.9047619047619048,0.9268292682926829
yolo_sppf_full_attention512_seed42,attention,512,42,Attention-512,test_1,Mouse061_20160526_18-38-49,63,60,0.9523809523809523,13,0.7936507936507937,2,53,59,62,0.8983050847457628,0.8548387096774194,0.8760330578512397
yolo_sppf_full_attention512_seed42,attention,512,42,Attention-512,test_1,Mouse061_20160526_18-38-49,63,60,0.9523809523809523,13,0.7936507936507937,3,51,58,61,0.8793103448275862,0.8360655737704918,0.8571428571428572
yolo_sppf_full_attention512_seed42,attention,512,42,Attention-512,test_1,Mouse061_20160526_18-38-49,63,60,0.9523809523809523,13,0.7936507936507937,4,49,57,60,0.8596491228070176,0.8166666666666667,0.8376068376068376
