model_name,stream,head,capacity,seed,mean_bout_macro_f1_iou25_present_behaviors_raw_windows,mean_bout_macro_f1_iou25_present_behaviors_smoothed_frames,mean_frame_macro_f1_present_behaviors_raw_windows,mean_frame_macro_f1_present_behaviors_smoothed_frames,pred_bouts_total_raw_windows,pred_bouts_total_smoothed_frames,delta_mean_frame_macro_f1_present_behaviors_smoothed_minus_raw,delta_mean_bout_macro_f1_iou25_present_behaviors_smoothed_minus_raw,delta_pred_bouts_total_smoothed_minus_raw
yolo_sppf_no_group_visual_lstm896_seed44,no_group_visual,lstm,896,44,0.6412823905202297,0.6410622455632425,0.7275986603021033,0.7275497102338984,1338.0,1341.0,-4.895006820493375e-05,-0.0002201449569871894,3.0
yolo_sppf_no_relations_attention256_seed42,no_relations,attention,256,42,0.6096875136945179,0.609433028802042,0.699878221753459,0.6998316300169491,1474.0,1478.0,-4.6591736509893344e-05,-0.00025448489247592576,4.0
yolo_sppf_no_relations_attention256_seed43,no_relations,attention,256,43,0.6168602517573932,0.6165955606205609,0.6972310175892524,0.6971855136540246,1447.0,1451.0,-4.550393522784191e-05,-0.00026469113683236234,4.0
yolo_sppf_no_relations_attention256_seed44,no_relations,attention,256,44,0.6055928754262656,0.6053137894328939,0.6905762167674638,0.6905300375014078,1427.0,1431.0,-4.61792660559901e-05,-0.00027908599337167495,4.0
yolo_sppf_no_relations_attention512_seed42,no_relations,attention,512,42,0.6043742744600424,0.6041061491919172,0.6909255425329576,0.6908812577649778,1449.0,1452.0,-4.428476797979641e-05,-0.00026812526812525217,3.0
yolo_sppf_no_relations_attention512_seed43,no_relations,attention,512,43,0.6138467799423827,0.6135744452123938,0.6995033281246285,0.6994569456104749,1426.0,1430.0,-4.6382514153564536e-05,-0.00027233472998888786,4.0
yolo_sppf_no_relations_attention512_seed44,no_relations,attention,512,44,0.6000286472181647,0.599737992034848,0.6760128797341024,0.6759678604221981,1530.0,1534.0,-4.5019311904259673e-05,-0.0002906551833167237,4.0
yolo_sppf_no_relations_attention896_seed42,no_relations,attention,896,42,0.6139255353074746,0.6136044014654534,0.7020435995149578,0.7019983703016789,1459.0,1463.0,-4.5229213278874525e-05,-0.0003211338420212595,4.0
yolo_sppf_no_relations_attention896_seed43,no_relations,attention,896,43,0.6125910538048951,0.612272981074101,0.7065562291123069,0.7065104512479293,1471.0,1475.0,-4.577786437753861e-05,-0.0003180727307940945,4.0
yolo_sppf_no_relations_attention896_seed44,no_relations,attention,896,44,0.6151894938686132,0.6149438775147494,0.6833858575491195,0.6833398258893518,1500.0,1504.0,-4.603165976768686e-05,-0.00024561635386377567,4.0
yolo_sppf_no_relations_lstm256_seed42,no_relations,lstm,256,42,0.626019421886841,0.6258049216723407,0.6977076141807833,0.697658850143488,1470.0,1473.0,-4.876403729525691e-05,-0.00021450021450031276,3.0
yolo_sppf_no_relations_lstm256_seed43,no_relations,lstm,256,43,0.6219411396617927,0.6216692094401136,0.69503527449402,0.694985947325698,1523.0,1527.0,-4.9327168322066406e-05,-0.0002719302216790398,4.0
yolo_sppf_no_relations_lstm256_seed44,no_relations,lstm,256,44,0.6011698428297982,0.6009240197907982,0.667870565014943,0.6678242991357546,1657.0,1661.0,-4.6265879188434056e-05,-0.0002458230390000038,4.0
yolo_sppf_no_relations_lstm512_seed42,no_relations,lstm,512,42,0.6438106910896532,0.6436217266149743,0.7020743336318223,0.7020267884032722,1522.0,1525.0,-4.7545228550105456e-05,-0.00018896447467886546,3.0
yolo_sppf_no_relations_lstm512_seed43,no_relations,lstm,512,43,0.6274287431876241,0.6272208822654773,0.6964835303356596,0.696435610959633,1556.0,1559.0,-4.791937602655061e-05,-0.000207860922146752,3.0
yolo_sppf_no_relations_lstm512_seed44,no_relations,lstm,512,44,0.6243675838604023,0.6240932983220111,0.6957213386774591,0.6956724831849052,1493.0,1497.0,-4.885549255395638e-05,-0.0002742855383911502,4.0
yolo_sppf_no_relations_lstm896_seed42,no_relations,lstm,896,42,0.6300263146151494,0.6297442663610983,0.700763039144252,0.7007144210115452,1506.0,1510.0,-4.861813270673476e-05,-0.0002820482540510927,4.0
yolo_sppf_no_relations_lstm896_seed43,no_relations,lstm,896,43,0.6355877808221484,0.6353877007901356,0.7025809583275163,0.7025335417630172,1539.0,1542.0,-4.741656449913645e-05,-0.0002000800320127727,3.0
yolo_sppf_no_relations_lstm896_seed44,no_relations,lstm,896,44,0.6163679888526395,0.616125290216818,0.6852391734053311,0.6851911314058243,1535.0,1539.0,-4.804199950680932e-05,-0.00024269863582160323,4.0
yolo_sppf_pose_relations_only_attention256_seed42,pose_relations_only,attention,256,42,0.6584698067103013,0.6581972278031774,0.7266441222995136,0.7265982871169935,1435.0,1439.0,-4.583518252010421e-05,-0.00027257890712395483,4.0
yolo_sppf_pose_relations_only_attention256_seed43,pose_relations_only,attention,256,43,0.6609646760948144,0.6606950941461278,0.7160177585756857,0.715972516570136,1451.0,1455.0,-4.5242005549672726e-05,-0.00026958194868653695,4.0
yolo_sppf_pose_relations_only_attention256_seed44,pose_relations_only,attention,256,44,0.669416649724715,0.6691412143473121,0.7287822081877355,0.7287357523477821,1482.0,1486.0,-4.6455839953440936e-05,-0.0002754353774029328,4.0
yolo_sppf_pose_relations_only_attention512_seed42,pose_relations_only,attention,512,42,0.6645865168256054,0.6643728416119303,0.728661313591137,0.7286145039457866,1462.0,1465.0,-4.6809645350309737e-05,-0.0002136752136751019,3.0
yolo_sppf_pose_relations_only_attention512_seed43,pose_relations_only,attention,512,43,0.6518522700085734,0.6515536729036231,0.7277563197978213,0.7277091018821619,1371.0,1375.0,-4.721791565942546e-05,-0.00029859710495028224,4.0
yolo_sppf_pose_relations_only_attention512_seed44,pose_relations_only,attention,512,44,0.6545119196421861,0.6542795444098111,0.725968360673208,0.7259207795925081,1410.0,1413.0,-4.758108069990996e-05,-0.00023237523237507052,3.0
yolo_sppf_pose_relations_only_attention896_seed42,pose_relations_only,attention,896,42,0.6596595261521874,0.6593708553115734,0.7313530779646855,0.7313055854028814,1370.0,1374.0,-4.7492561804141076e-05,-0.0002886708406140137,4.0
yolo_sppf_pose_relations_only_attention896_seed43,pose_relations_only,attention,896,43,0.6634207349105582,0.6631497075316367,0.7234788459683433,0.7234319809348747,1427.0,1431.0,-4.686503346862381e-05,-0.00027102737892148454,4.0
yolo_sppf_pose_relations_only_attention896_seed44,pose_relations_only,attention,896,44,0.6632380796945777,0.6629336361252086,0.7292025435114383,0.7291545897654331,1388.0,1392.0,-4.795374600519153e-05,-0.000304443569369095,4.0
yolo_sppf_pose_relations_only_lstm256_seed42,pose_relations_only,lstm,256,42,0.638514879637744,0.6382899583601912,0.7090667594528937,0.7090213128435213,1490.0,1493.0,-4.544660937233491e-05,-0.0002249212775528031,3.0
yolo_sppf_pose_relations_only_lstm256_seed43,pose_relations_only,lstm,256,43,0.6474395412365899,0.6471647971926308,0.7189519345549319,0.718903366201539,1370.0,1374.0,-4.85683533928416e-05,-0.00027474404395910756,4.0
yolo_sppf_pose_relations_only_lstm256_seed44,pose_relations_only,lstm,256,44,0.6368756206884225,0.6366611204739223,0.7037923071959373,0.7037461210471214,1468.0,1471.0,-4.618614881590766e-05,-0.00021450021450020174,3.0
yolo_sppf_pose_relations_only_lstm512_seed42,pose_relations_only,lstm,512,42,0.6472258603433291,0.6469756100930789,0.7148370953903793,0.7147901753946906,1493.0,1496.0,-4.6919995688732286e-05,-0.00025025025025016134,3.0
