stream,head,capacity,seed,class,threshold,tp,fp,fn,bout_precision,bout_recall,bout_f1
animal_visual_only,lstm,896,43,attack,0.1,180.0,63.0,176.0,0.7407407407407407,0.5056179775280899,0.6010016694490818
animal_visual_only,lstm,896,43,attack,0.25,150.0,93.0,206.0,0.6172839506172839,0.42134831460674155,0.5008347245409015
animal_visual_only,lstm,896,43,attack,0.5,91.0,152.0,265.0,0.37448559670781895,0.2556179775280899,0.30383973288814686
animal_visual_only,lstm,896,43,investigation,0.1,789.0,413.0,678.0,0.6564059900166389,0.5378323108384458,0.5912326714125141
animal_visual_only,lstm,896,43,investigation,0.25,608.0,594.0,859.0,0.5058236272878536,0.41445126107702795,0.4556013488197827
animal_visual_only,lstm,896,43,investigation,0.5,346.0,856.0,1121.0,0.2878535773710483,0.23585548738922973,0.2592731360059948
animal_visual_only,lstm,896,43,mount,0.1,155.0,70.0,53.0,0.6888888888888889,0.7451923076923077,0.7159353348729793
animal_visual_only,lstm,896,43,mount,0.25,148.0,77.0,60.0,0.6577777777777778,0.7115384615384616,0.6836027713625866
animal_visual_only,lstm,896,43,mount,0.5,130.0,95.0,78.0,0.5777777777777777,0.625,0.6004618937644342
animal_visual_only,lstm,896,44,attack,0.1,203.0,128.0,153.0,0.6132930513595166,0.5702247191011236,0.5909752547307132
animal_visual_only,lstm,896,44,attack,0.25,171.0,160.0,185.0,0.5166163141993958,0.4803370786516854,0.4978165938864629
animal_visual_only,lstm,896,44,attack,0.5,95.0,236.0,261.0,0.28700906344410876,0.26685393258426965,0.2765647743813683
animal_visual_only,lstm,896,44,investigation,0.1,741.0,375.0,726.0,0.6639784946236559,0.5051124744376279,0.5737514518002322
animal_visual_only,lstm,896,44,investigation,0.25,600.0,516.0,867.0,0.5376344086021505,0.40899795501022496,0.4645760743321719
animal_visual_only,lstm,896,44,investigation,0.5,341.0,775.0,1126.0,0.3055555555555556,0.23244717109747784,0.2640340689121177
animal_visual_only,lstm,896,44,mount,0.1,171.0,127.0,37.0,0.5738255033557047,0.8221153846153846,0.6758893280632411
animal_visual_only,lstm,896,44,mount,0.25,162.0,136.0,46.0,0.5436241610738255,0.7788461538461539,0.6403162055335968
animal_visual_only,lstm,896,44,mount,0.5,148.0,150.0,60.0,0.4966442953020134,0.7115384615384616,0.5849802371541502
full,attention,256,42,attack,0.1,228.0,45.0,128.0,0.8351648351648352,0.6404494382022472,0.724960254372019
