stream,head,capacity,seed,class,threshold,tp,fp,fn,bout_precision,bout_recall,bout_f1
full,attention,256,44,mount,0.25,170.0,37.0,38.0,0.821256038647343,0.8173076923076923,0.819277108433735
full,attention,256,44,mount,0.5,157.0,50.0,51.0,0.7584541062801933,0.7548076923076923,0.7566265060240964
full,attention,512,42,attack,0.1,215.0,118.0,141.0,0.6456456456456456,0.6039325842696629,0.6240928882438316
full,attention,512,42,attack,0.25,192.0,141.0,164.0,0.5765765765765766,0.5393258426966292,0.5573294629898403
full,attention,512,42,attack,0.5,111.0,222.0,245.0,0.3333333333333333,0.31179775280898875,0.32220609579100146
full,attention,512,42,investigation,0.1,710.0,165.0,757.0,0.8114285714285714,0.4839809134287662,0.6063193851409051
full,attention,512,42,investigation,0.25,645.0,230.0,822.0,0.7371428571428571,0.4396728016359918,0.5508112724167378
full,attention,512,42,investigation,0.5,454.0,421.0,1013.0,0.5188571428571429,0.3094751192910702,0.38770281810418444
full,attention,512,42,mount,0.1,168.0,21.0,40.0,0.8888888888888888,0.8076923076923077,0.8463476070528968
full,attention,512,42,mount,0.25,165.0,24.0,43.0,0.873015873015873,0.7932692307692307,0.8312342569269521
full,attention,512,42,mount,0.5,153.0,36.0,55.0,0.8095238095238095,0.7355769230769231,0.7707808564231737
full,attention,512,43,attack,0.1,226.0,59.0,130.0,0.7929824561403509,0.6348314606741573,0.705148205928237
full,attention,512,43,attack,0.25,202.0,83.0,154.0,0.7087719298245614,0.5674157303370787,0.6302652106084243
full,attention,512,43,attack,0.5,125.0,160.0,231.0,0.43859649122807015,0.351123595505618,0.39001560062402496
full,attention,512,43,investigation,0.1,752.0,184.0,715.0,0.8034188034188035,0.512610770279482,0.6258843112775697
full,attention,512,43,investigation,0.25,683.0,253.0,784.0,0.7297008547008547,0.4655760054533061,0.5684560965459842
full,attention,512,43,investigation,0.5,475.0,461.0,992.0,0.5074786324786325,0.3237900477164281,0.3953391593841032
full,attention,512,43,mount,0.1,163.0,28.0,45.0,0.8534031413612565,0.7836538461538461,0.8170426065162907
full,attention,512,43,mount,0.25,159.0,32.0,49.0,0.8324607329842932,0.7644230769230769,0.7969924812030075
full,attention,512,43,mount,0.5,148.0,43.0,60.0,0.774869109947644,0.7115384615384616,0.7418546365914788
full,attention,512,44,attack,0.1,218.0,70.0,138.0,0.7569444444444444,0.6123595505617978,0.6770186335403726
full,attention,512,44,attack,0.25,192.0,96.0,164.0,0.6666666666666666,0.5393258426966292,0.5962732919254659
full,attention,512,44,attack,0.5,118.0,170.0,238.0,0.4097222222222222,0.33146067415730335,0.3664596273291925
full,attention,512,44,investigation,0.1,723.0,175.0,744.0,0.8051224944320713,0.49284253578732107,0.6114164904862579
full,attention,512,44,investigation,0.25,652.0,246.0,815.0,0.7260579064587973,0.4444444444444444,0.5513742071881607
full,attention,512,44,investigation,0.5,459.0,439.0,1008.0,0.5111358574610245,0.3128834355828221,0.3881606765327696
full,attention,512,44,mount,0.1,169.0,28.0,39.0,0.8578680203045685,0.8125,0.8345679012345679
full,attention,512,44,mount,0.25,167.0,30.0,41.0,0.8477157360406091,0.8028846153846154,0.8246913580246914
full,attention,512,44,mount,0.5,156.0,41.0,52.0,0.7918781725888325,0.75,0.7703703703703703
full,attention,896,42,attack,0.1,223.0,64.0,133.0,0.7770034843205574,0.6264044943820225,0.6936236391912908
full,attention,896,42,attack,0.25,203.0,84.0,153.0,0.7073170731707317,0.5702247191011236,0.6314152410575428
full,attention,896,42,attack,0.5,127.0,160.0,229.0,0.4425087108013937,0.35674157303370785,0.39502332814930013
