run,window,collar_frames,mean_macro_precision,mean_macro_recall,mean_macro_f1,sd_macro_f1,n_videos,median_heldout_bout_frames
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,16,0.3972791189247823,0.2636254005484292,0.2951661218216701,0.09429815520162874,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,17,0.40475708571894203,0.2670755661198094,0.2997798442112571,0.09381249002872648,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,18,0.41020848191704795,0.26971982564023983,0.30321317050059,0.09353057881588218,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,19,0.4153735699935284,0.2723667133833315,0.3066715127224962,0.09422345883505306,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,20,0.42719473724521234,0.2782751206928082,0.3144091457459429,0.09326608042415258,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,21,0.42916794213461024,0.27932060790161534,0.31573463173425004,0.09400747124461058,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,22,0.43634537384336564,0.2825984036172722,0.3201132053629364,0.09236772181602633,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,23,0.44232284145701656,0.28541325509724275,0.32388252282621555,0.09478301323226881,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,24,0.4491204302778429,0.2896677809570313,0.32888092783999584,0.09484858053180215,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,25,0.45314169815054317,0.2912930257166001,0.3311286960307228,0.0966759227839343,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,26,0.4572494016839629,0.2933589207480275,0.33381847356420685,0.09680222503717893,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,27,0.46352762117731305,0.29656221459829163,0.3379873088701121,0.09568334998871189,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,28,0.4661062004709639,0.29742880359817747,0.3392779471659915,0.09511008237327175,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,29,0.4737868401734632,0.3010645794132247,0.34413030478602796,0.09369705904098855,5,4.0
