source,run,window,track,seed,prediction_type,movie_id,gt_sequence_length,pred_sequence_length,sequence_length_ratio_pred_over_gt,n,ngram_tp,pred_ngram_total,gt_ngram_total,ngram_precision,ngram_recall,ngram_f1
null,GT composition shuffle,null,GT composition shuffle,0,raw,9,64,64,1.0,2,63,63,63,1.0,1.0,1.0
null,GT composition shuffle,null,GT composition shuffle,0,raw,9,64,64,1.0,3,60,62,62,0.967741935483871,0.967741935483871,0.967741935483871
null,GT composition shuffle,null,GT composition shuffle,0,raw,9,64,64,1.0,4,56,61,61,0.9180327868852459,0.9180327868852459,0.9180327868852459
null,GT Markov baseline,null,GT Markov baseline,0,raw,9,64,64,1.0,1,48,64,64,0.75,0.75,0.75
null,GT Markov baseline,null,GT Markov baseline,0,raw,9,64,64,1.0,2,36,63,63,0.5714285714285714,0.5714285714285714,0.5714285714285714
null,GT Markov baseline,null,GT Markov baseline,0,raw,9,64,64,1.0,3,28,62,62,0.45161290322580644,0.45161290322580644,0.45161290322580644
null,GT Markov baseline,null,GT Markov baseline,0,raw,9,64,64,1.0,4,21,61,61,0.3442622950819672,0.3442622950819672,0.3442622950819672
length_matched_null,16-frame window length unigram,w16s8,16-frame window length unigram,0,raw,9,64,39,0.609375,1,33,39,64,0.8461538461538461,0.515625,0.6407766990291262
length_matched_null,16-frame window length unigram,w16s8,16-frame window length unigram,0,raw,9,64,39,0.609375,2,27,38,63,0.7105263157894737,0.42857142857142855,0.5346534653465346
length_matched_null,16-frame window length unigram,w16s8,16-frame window length unigram,0,raw,9,64,39,0.609375,3,21,37,62,0.5675675675675675,0.3387096774193548,0.42424242424242425
length_matched_null,16-frame window length unigram,w16s8,16-frame window length unigram,0,raw,9,64,39,0.609375,4,16,36,61,0.4444444444444444,0.26229508196721313,0.32989690721649484
length_matched_null,16-frame window length Markov,w16s8,16-frame window length Markov,0,raw,9,64,39,0.609375,1,38,39,64,0.9743589743589743,0.59375,0.7378640776699028
length_matched_null,16-frame window length Markov,w16s8,16-frame window length Markov,0,raw,9,64,39,0.609375,2,36,38,63,0.9473684210526315,0.5714285714285714,0.7128712871287128
length_matched_null,16-frame window length Markov,w16s8,16-frame window length Markov,0,raw,9,64,39,0.609375,3,34,37,62,0.918918918918919,0.5483870967741935,0.6868686868686869
length_matched_null,16-frame window length Markov,w16s8,16-frame window length Markov,0,raw,9,64,39,0.609375,4,33,36,61,0.9166666666666666,0.5409836065573771,0.6804123711340206
length_matched_null,8-frame window length unigram,w8s4,8-frame window length unigram,0,raw,9,64,58,0.90625,1,50,58,64,0.8620689655172413,0.78125,0.8196721311475409
length_matched_null,8-frame window length unigram,w8s4,8-frame window length unigram,0,raw,9,64,58,0.90625,2,42,57,63,0.7368421052631579,0.6666666666666666,0.7
length_matched_null,8-frame window length unigram,w8s4,8-frame window length unigram,0,raw,9,64,58,0.90625,3,37,56,62,0.6607142857142857,0.5967741935483871,0.6271186440677966
length_matched_null,8-frame window length unigram,w8s4,8-frame window length unigram,0,raw,9,64,58,0.90625,4,33,55,61,0.6,0.5409836065573771,0.5689655172413793
length_matched_null,8-frame window length Markov,w8s4,8-frame window length Markov,0,raw,9,64,58,0.90625,1,48,58,64,0.8275862068965517,0.75,0.7868852459016394
length_matched_null,8-frame window length Markov,w8s4,8-frame window length Markov,0,raw,9,64,58,0.90625,2,43,57,63,0.7543859649122807,0.6825396825396826,0.7166666666666668
length_matched_null,8-frame window length Markov,w8s4,8-frame window length Markov,0,raw,9,64,58,0.90625,3,38,56,62,0.6785714285714286,0.6129032258064516,0.6440677966101694
length_matched_null,8-frame window length Markov,w8s4,8-frame window length Markov,0,raw,9,64,58,0.90625,4,33,55,61,0.6,0.5409836065573771,0.5689655172413793
null,GT composition shuffle,null,GT composition shuffle,0,raw,10,193,193,1.0,1,193,193,193,1.0,1.0,1.0
null,GT composition shuffle,null,GT composition shuffle,0,raw,10,193,193,1.0,2,172,192,192,0.8958333333333334,0.8958333333333334,0.8958333333333334
null,GT composition shuffle,null,GT composition shuffle,0,raw,10,193,193,1.0,3,145,191,191,0.7591623036649214,0.7591623036649214,0.7591623036649215
null,GT composition shuffle,null,GT composition shuffle,0,raw,10,193,193,1.0,4,113,190,190,0.5947368421052631,0.5947368421052631,0.5947368421052631
null,GT Markov baseline,null,GT Markov baseline,0,raw,10,193,193,1.0,1,177,193,193,0.917098445595855,0.917098445595855,0.917098445595855
null,GT Markov baseline,null,GT Markov baseline,0,raw,10,193,193,1.0,2,164,192,192,0.8541666666666666,0.8541666666666666,0.8541666666666666
null,GT Markov baseline,null,GT Markov baseline,0,raw,10,193,193,1.0,3,149,191,191,0.7801047120418848,0.7801047120418848,0.7801047120418849
null,GT Markov baseline,null,GT Markov baseline,0,raw,10,193,193,1.0,4,129,190,190,0.6789473684210526,0.6789473684210526,0.6789473684210526
length_matched_null,16-frame window length unigram,w16s8,16-frame window length unigram,0,raw,10,193,151,0.7823834196891192,1,151,151,193,1.0,0.7823834196891192,0.8779069767441859
length_matched_null,16-frame window length unigram,w16s8,16-frame window length unigram,0,raw,10,193,151,0.7823834196891192,2,137,150,192,0.9133333333333333,0.7135416666666666,0.8011695906432748
